"id","info","updated_at","mt_loaded_at","mt_load_process"
1204430709874901,"{""gid"": ""1204430709874901"", ""name"": ""S GA4 Migration"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-20T08:13:07.338Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-28T13:23:30.373Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-28 13:23:30.373,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204245810981370,"{""gid"": ""1204245810981370"", ""name"": ""NK GA4 Migration "", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-03-23T09:17:03.361Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-27T08:26:21.544Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-27 08:26:21.544,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204479625032351,"{""gid"": ""1204479625032351"", ""name"": ""Pet GA4 Migration"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-28T13:14:09.643Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-28T13:18:36.590Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-28 13:18:36.590,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204479625032354,"{""gid"": ""1204479625032354"", ""name"": ""Pet Amzn GA4 Migration"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-28T13:14:29.038Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-28T13:18:39.132Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-28 13:18:39.132,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204479625032357,"{""gid"": ""1204479625032357"", ""name"": ""GA4 Migration"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-28T13:14:42.543Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-28T13:18:42.799Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-28 13:18:42.799,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204372731208340,"{""gid"": ""1204372731208340"", ""name"": ""Follow up on Re: New E-shop Tracking"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-11T13:30:34.159Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-27T09:51:40.721Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-27 09:51:40.721,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204020538535251,"{""gid"": ""1204020538535251"", ""name"": ""GTM & GA Setup "", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-02-22T08:50:51.926Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-26T21:14:39.849Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-26 21:14:39.849,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204362905039256,"{""gid"": ""1204362905039256"", ""name"": ""New Lead for GTM"", ""tags"": [], ""due_at"": null, ""due_on"": ""2023-04-30"", ""assignee"": {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-04-10T11:10:09.084Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-26T21:14:57.020Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-26 21:14:57.020,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1203715458046503,"{""gid"": ""1203715458046503"", ""name"": ""GA4 Offer"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-01-12T17:25:50.237Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-26T21:15:23.330Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-26 21:15:23.330,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
1204118518147994,"{""gid"": ""1204118518147994"", ""name"": ""GA4 Additions & Fixes"", ""tags"": [], ""due_at"": null, ""due_on"": null, ""assignee"": {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, ""projects"": [{""gid"": ""1203714882969699"", ""resource_type"": ""project""}], ""completed"": false, ""created_at"": ""2023-03-06T14:06:04.836Z"", ""memberships"": [{}], ""modified_at"": ""2023-04-26T21:16:07.364Z"", ""completed_at"": null, ""assignee_status"": ""inbox"", ""actual_time_minutes"": null}",2023-04-26 21:16:07.364,2023-04-29 07:40:59.511,node_loader.32651.1682754059511
