"id","info","updated_at","mt_loaded_at","mt_load_process"
1192940332180777,"{""gid"": ""1192940332180777"", ""name"": ""Ad hocs Clients"", ""owner"": {""gid"": ""1149366020187315"", ""resource_type"": ""user""}, ""members"": [{""gid"": ""1149366020187315"", ""resource_type"": ""user""}, {""gid"": ""1154912623906217"", ""resource_type"": ""user""}, {""gid"": ""1200939658680943"", ""resource_type"": ""user""}, {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, {""gid"": ""18150217815374"", ""resource_type"": ""user""}], ""archived"": false, ""completed"": false, ""created_at"": ""2020-09-09T11:33:05.860Z"", ""modified_at"": ""2023-03-22T19:41:48.706Z"", ""completed_at"": null}",2023-03-22 19:41:48.706,2023-03-23 11:30:51.901,node_loader.0.0
1203479359380736,"{""gid"": ""1203479359380736"", ""name"": ""Tasks"", ""owner"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""members"": [{""gid"": ""1203479392111618"", ""resource_type"": ""user""}, {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, {""gid"": ""974988515247925"", ""resource_type"": ""user""}, {""gid"": ""1149366020187315"", ""resource_type"": ""user""}, {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, {""gid"": ""18150217815374"", ""resource_type"": ""user""}], ""archived"": false, ""completed"": false, ""created_at"": ""2022-12-02T08:17:36.660Z"", ""modified_at"": ""2023-03-22T12:27:53.957Z"", ""completed_at"": null}",2023-03-22 12:27:53.957,2023-03-23 11:30:51.901,node_loader.0.0
1203639521855760,"{""gid"": ""1203639521855760"", ""name"": ""Sport Group"", ""owner"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""members"": [{""gid"": ""1192914918961045"", ""resource_type"": ""user""}, {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, {""gid"": ""766047641548905"", ""resource_type"": ""user""}, {""gid"": ""1155583630012025"", ""resource_type"": ""user""}, {""gid"": ""1202531831197585"", ""resource_type"": ""user""}, {""gid"": ""1149366020187315"", ""resource_type"": ""user""}, {""gid"": ""1185022028207989"", ""resource_type"": ""user""}, {""gid"": ""1203991621232955"", ""resource_type"": ""user""}, {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, {""gid"": ""18150217815374"", ""resource_type"": ""user""}, {""gid"": ""1199688103626917"", ""resource_type"": ""user""}], ""archived"": false, ""completed"": false, ""created_at"": ""2023-01-03T09:24:35.063Z"", ""modified_at"": ""2023-03-22T14:24:18.166Z"", ""completed_at"": null}",2023-03-22 14:24:18.166,2023-03-23 11:30:51.901,node_loader.0.0
1203714882969699,"{""gid"": ""1203714882969699"", ""name"": ""GA4 Clients"", ""owner"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""members"": [{""gid"": ""1203479392111618"", ""resource_type"": ""user""}, {""gid"": ""1149366020187315"", ""resource_type"": ""user""}, {""gid"": ""1154912623906217"", ""resource_type"": ""user""}, {""gid"": ""1200939658680943"", ""resource_type"": ""user""}, {""gid"": ""1192914918961045"", ""resource_type"": ""user""}, {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, {""gid"": ""18150217815374"", ""resource_type"": ""user""}], ""archived"": false, ""completed"": false, ""created_at"": ""2023-01-12T22:17:38.922Z"", ""modified_at"": ""2023-03-22T19:51:00.776Z"", ""completed_at"": null}",2023-03-22 19:51:00.776,2023-03-23 11:30:51.901,node_loader.0.0
1204003800175457,"{""gid"": ""1204003800175457"", ""name"": ""MD"", ""owner"": {""gid"": ""1200939658680943"", ""resource_type"": ""user""}, ""members"": [{""gid"": ""1200939658680943"", ""resource_type"": ""user""}], ""archived"": true, ""completed"": false, ""created_at"": ""2023-02-22T08:28:30.444Z"", ""modified_at"": ""2023-03-15T10:23:24.150Z"", ""completed_at"": null}",2023-03-15 10:23:24.150,2023-03-23 11:30:51.901,node_loader.0.0
1204183438404660,"{""gid"": ""1204183438404660"", ""name"": ""WA"", ""owner"": {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, ""members"": [{""gid"": ""1192914918961045"", ""resource_type"": ""user""}, {""gid"": ""1149366020187315"", ""resource_type"": ""user""}, {""gid"": ""1204167891637644"", ""resource_type"": ""user""}, {""gid"": ""1203479392111618"", ""resource_type"": ""user""}, {""gid"": ""18150217815374"", ""resource_type"": ""user""}], ""archived"": false, ""completed"": false, ""created_at"": ""2023-03-15T10:21:42.357Z"", ""modified_at"": ""2023-03-23T09:06:36.695Z"", ""completed_at"": null}",2023-03-23 09:06:36.695,2023-03-23 11:30:51.901,node_loader.0.0
